budget_id,budget_flops,schedule_regime,model_name,n_layer,n_head,n_embd,num_params,target_train_tokens,actual_train_tokens,actual_compute_proxy,fixed_schedule_horizon_steps,runs,mean_train_steps,mean_final_val_loss,std_final_val_loss,mean_best_val_loss,mean_final_test_loss,mean_runtime_sec,mean_tokens_per_second,actual_d_over_n,token_parameter_ratio
0,1200000000000.0,fixed,gpt_2l_56d,2,4,56,98336,2033843.1500162708,2035712,1201102651392.0,864,3,994.0,2.499658985932668,0.00089170139060262,2.498888417085012,2.493796034653981,2.9997986952463784,715713.8985334864,20.701594533029613,20.701594533029613
0,1200000000000.0,fixed,gpt_2l_60d,2,4,60,111120,1799856.0115190784,1800192,1200224010240.0,994,3,879.0,2.4850026607513427,0.0023737631490832025,2.4850026607513427,2.478965743382772,3.5089993476867676,545975.4244678484,16.200431965442764,16.200431965442764
0,1200000000000.0,fixed,gpt_2l_64d,2,4,64,124672,1604209.4455852157,1605632,1201064116224.0,864,3,784.0,2.4882831970850625,0.0008955131130886978,2.4882744987805685,2.482767721017202,3.258261283238729,493926.2405540607,12.878850102669405,12.878850102669405
0,1200000000000.0,fixed,gpt_3l_48d,3,4,48,103344,1935284.0997058367,1935360,1200047063040.0,864,3,945.0,2.5106258312861125,0.0018558983601265713,2.5106258312861125,2.5037715911865237,6.066777070363362,319100.6743710399,18.727357176033443,18.727357176033443
0,1200000000000.0,fixed,gpt_3l_56d,3,4,56,136696,1463100.6027974484,1464320,1201000120320.0,864,3,715.0,2.5024198770523074,0.000404031972635616,2.5024198770523074,2.4956792910893757,4.28813370068868,341856.0974077837,10.712237373441798,10.712237373441798
0,1200000000000.0,fixed,gpt_3l_64d,3,4,64,174656,1145108.0982044705,1146880,1201856839680.0,864,3,560.0,2.4993822971979776,0.0030448018886857714,2.4993822971979776,2.4926239291826886,3.179591655731201,360906.77185961325,6.566507878343716,6.566507878343716
0,1200000000000.0,fixed,gpt_3l_72d,3,4,72,217224,920708.5773211063,921600,1201161830400.0,864,3,450.0,2.4990561763445536,0.001605809865053617,2.4990561763445536,2.492630775769552,2.8505349159240723,323309.7746250552,4.242625124295658,4.242625124295658
0,1200000000000.0,fixed,gpt_3l_80d,3,4,80,264400,756429.65204236,757760,1202110464000.0,864,3,370.0,2.505181928475698,0.005188720636482824,2.5049919724464416,2.498938246568044,2.190215984980265,347461.03787072777,2.865960665658094,2.865960665658094
0,1200000000000.0,fixed,gpt_4l_80d,4,4,80,342240,584385.226741468,585728,1202757304320.0,864,3,286.0,2.5294867634773257,0.003460431265730467,2.5294867634773257,2.523362151781718,2.400104602177938,246166.22093364855,1.7114539504441328,1.7114539504441328
0,1200000000000.0,fixed,gpt_4l_96d,4,4,96,484416,412868.27850442595,413696,1202405769216.0,864,3,202.0,2.550271105766296,0.005714853352884535,2.546483918031057,2.5421183943748473,0.9495874245961508,474678.19960373914,0.854009776720835,0.854009776720835
